;;;Enhed;År;;;;;;;;;;Vinter;;;;;;;;;;Forår;;;;;;;;;;Sommer;;;;;;;;;;Efterår;;;;;;;;;
Danmark;;;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;
;;;;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil
;Højt CO2-niveau (RCP8.5);Absolutte;mm/5døgn;57,60;61,24;56,70;65,86;63,26;58,51;68,76;67,68;62,19;76,39;34,92;36,91;33,51;40,38;38,99;35,96;42,38;42,81;39,43;47,04;30,27;31,85;29,52;35,19;33,89;31,29;36,94;36,71;33,71;40,17;48,24;51,72;46,76;57,32;51,86;47,00;58,63;53,87;47,01;64,07;46,70;47,85;44,22;51,65;49,82;45,37;55,24;53,66;49,38;58,04
;;Ændring;%;;5,77;-2,60;15,20;9,88;0,58;19,18;17,85;6,62;31,55;;5,01;-4,51;17,13;11,07;2,85;21,20;22,37;11,13;35,05;;5,85;-5,17;18,17;12,45;0,96;23,49;20,55;9,82;36,10;;6,40;-4,64;20,37;7,66;-5,07;21,95;11,83;-4,76;34,87;;2,29;-6,69;13,48;7,07;-2,83;18,34;15,06;4,88;25,71
Maksimal 14-døgnsnedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/14døgn;93,78;99,02;91,33;107,10;101,09;94,64;110,41;101,93;94,23;115,41;61,42;65,53;60,69;70,36;68,60;63,83;73,50;68,65;63,49;76,73;49,99;52,75;48,77;58,93;54,51;48,80;58,96;55,40;51,12;61,50;78,80;83,31;73,76;93,67;84,00;76,59;96,50;83,91;75,39;102,06;79,48;82,34;74,04;88,85;82,91;76,82;91,63;84,11;77,50;92,58
;;Ændring;%;;5,27;-3,89;13,25;7,86;-0,47;16,67;8,99;-1,74;22,24;;6,23;-0,99;14,58;10,98;4,09;19,66;12,13;4,04;23,96;;4,09;-5,17;18,86;6,40;-3,98;20,04;9,72;-1,96;22,11;;4,18;-7,52;17,60;6,66;-5,88;19,24;6,51;-8,22;29,30;;3,21;-7,27;12,77;5,57;-4,74;15,31;6,96;-4,05;16,39
;Højt CO2-niveau (RCP8.5);Absolutte;mm/14døgn;93,78;98,69;92,18;105,88;101,29;94,38;109,87;107,68;100,36;120,25;61,42;64,87;59,76;70,42;68,91;63,66;75,11;75,59;69,05;84,33;49,99;53,34;49,62;58,65;56,20;51,92;61,40;60,42;55,33;65,90;78,80;82,82;75,54;92,42;81,79;74,58;94,33;83,70;74,78;99,30;79,48;81,29;75,90;87,20;84,42;77,08;92,53;90,52;83,43;98,36
;;Ændring;%;;4,60;-2,06;13,00;7,79;0,47;16,96;15,39;5,62;27,35;;5,07;-3,03;14,82;11,63;3,81;22,05;22,62;12,43;36,34;;6,91;-3,91;19,04;12,35;2,49;23,75;20,11;9,47;33,99;;4,36;-4,97;18,44;3,72;-7,41;19,72;6,59;-7,53;28,35;;1,89;-5,49;11,15;5,92;-2,78;16,99;13,73;4,76;23,85
Døgn med over 10 mm nedbør;Mellem CO2-niveau (RCP4.5);Absolutte;døgn;18,29;19,82;18,18;21,63;20,58;18,95;22,40;21,10;19,28;24,25;3,66;4,18;3,51;4,97;4,66;4,00;5,46;4,98;4,21;5,84;2,44;2,74;2,23;3,38;2,91;2,27;3,42;3,10;2,46;3,66;6,03;6,45;5,23;7,67;6,37;5,54;7,99;6,32;5,49;8,21;6,06;6,42;5,62;7,37;6,40;5,76;7,51;6,72;5,81;7,58
;;Ændring;%;;8,48;-1,01;21,22;13,31;3,27;25,50;15,25;4,35;38,90;;14,02;-3,34;40,08;27,64;9,63;53,04;37,31;16,09;66,06;;12,90;-9,36;39,72;16,78;-6,30;42,78;24,43;2,29;53,71;;4,84;-11,78;27,04;7,52;-11,13;27,69;6,13;-13,20;39,41;;7,51;-6,67;27,29;11,24;-6,68;27,29;12,83;-2,67;34,03
;Højt CO2-niveau (RCP8.5);Absolutte;døgn;18,29;19,73;18,54;21,14;21,22;19,39;23,20;23,39;20,99;26,13;3,66;4,21;3,58;4,75;4,98;4,27;5,71;5,90;5,07;7,19;2,44;2,73;2,30;3,20;3,12;2,62;3,63;3,64;3,08;4,27;6,03;6,47;5,70;7,24;6,22;5,41;7,57;6,08;5,15;7,99;6,06;6,37;5,76;7,02;6,83;5,87;7,70;7,52;6,41;8,74
;;Ændring;%;;8,31;-0,74;18,63;16,37;5,87;29,95;29,31;14,21;45,81;;14,84;-5,44;34,47;37,16;16,83;59,35;64,81;37,13;104,09;;12,36;-10,58;35,46;27,64;5,54;49,63;49,63;23,41;79,20;;5,43;-6,43;23,78;2,84;-11,01;25,76;1,22;-17,73;34,94;;5,18;-7,22;21,64;12,88;-1,90;29,78;25,67;7,05;46,68
